start-node,end-node
1,29
1,2
1,6
2,1
2,3
3,2
3,31
3,4
4,3
4,5
4,9
5,4
5,6
5,7
5,8
6,1
6,5
6,7
7,6
7,30
7,5
7,8
8,7
8,5
8,10
8,11
9,4
9,32
9,31
10,8
10,14
10,32
11,8
11,10
11,12
11,13
12,11
12,30
12,13
13,11
13,12
13,14
13,26
14,10
14,15
14,13
15,14
15,16
16,15
16,17
17,26
17,19
17,21
18,21
18,23
18,33
18,24
18,25
19,17
19,20
20,19
20,22
20,21
21,20
21,17
21,18
22,20
22,34
22,33
23,18
23,33
23,24
24,23
24,25
25,24
25,18
26,17
26,27
26,13
27,26
27,28
28,13
28,27
29,1
30,12
30,7
31,3
31,9
31,32
32,9
32,10
33,23
33,22
34,22
35,24
35,23
35,36
36,35
36,37
