WKT,name,description
"POINT (-85.7598365 38.2169173)",Point 1,Ekstrom Library
"POINT (-85.7596219 38.2168372)",Point 2,
"POINT (-85.7592357 38.2166602)",Point 3,
"POINT (-85.7592089 38.2168204)",Point 4,
"POINT (-85.7592142 38.2169215)",Point 5,
"POINT (-85.7594074 38.2170522)",Point 6,
"POINT (-85.7591874 38.2171871)",Point 7,
"POINT (-85.7588709 38.2170985)",Point 8,
"POINT (-85.7589085 38.2168119)",Point 9,
"POINT (-85.7584072 38.2170748)",Point 10,
"POINT (-85.7586003 38.217374)",Point 11,
"POINT (-85.7587827 38.2176648)",Point 12,
"POINT (-85.7583106 38.2176205)",Point 13,
"POINT (-85.758375 38.2171906)",Point 14,
"POINT (-85.7581711 38.2172117)",Point 15,
"POINT (-85.7575918 38.2171316)",Point 16,
"POINT (-85.7575006 38.2175489)",Point 17,
"POINT (-85.7566208 38.2174519)",Point 18,
"POINT (-85.7572377 38.2174056)",Point 19,
"POINT (-85.7570446 38.2172117)",Point 20,
"POINT (-85.7569373 38.2174857)",Point 21,
"POINT (-85.756712 38.2169209)",Point 22,
"POINT (-85.756256 38.2174182)",Point 23,SAC
"POINT (-85.756197 38.2176753)",Point 24,SAC
"POINT (-85.7563901 38.217787)",Point 25,Red Barn
"POINT (-85.7577097 38.2175741)",Point 26,
"POINT (-85.7579189 38.2176964)",Point 27,
"POINT (-85.7582462 38.2179998)",Point 28,
"POINT (-85.7609283 38.2170048)",Point 29,Ekstrom Library West
"POINT (-85.7590883 38.2177129)",Point 30,
"POINT (-85.7588872 38.2166069)",Point 31,Humantities Building
"POINT (-85.7584683 38.2167591)",Point 32,
"POINT (-85.7564375 38.2172641)",Point 33,SAC
"POINT (-85.7566671 38.216573)",Point 34,SAC Entrance
"POINT (-85.7559062 38.2176258)",Point 35,
"POINT (-85.7555736 38.2178007)",Point 36,
"POINT (-85.7553456 38.2175257)",Point 37,SAC South
