WKT,name,description
"POINT (-85.7607886 38.2132227)",Point 1,
"POINT (-85.7607778 38.2133091)",Point 2,
"POINT (-85.7610809 38.2133386)",Point 3,
"POINT (-85.7605579 38.2132838)",Point 4,
"POINT (-85.7609736 38.2133344)",Point 5,
"POINT (-85.7604774 38.2132754)",Point 6,
"POINT (-85.760295 38.2132501)",Point 7,
"POINT (-85.7612499 38.2133576)",Point 8,
"POINT (-85.7610782 38.2134208)",Point 9,
"POINT (-85.7612284 38.2134619)",Point 10,
"POINT (-85.7605325 38.2133396)",Point 11,
"POINT (-85.7610144 38.2133881)",Point 12,
"POINT (-85.7602674 38.2133828)",Point 13,
"POINT (-85.7608209 38.2133689)",Point 14,
"POINT (-85.7607163 38.2133615)",Point 15,
"POINT (-85.7605058 38.2134658)",Point 16,
"POINT (-85.7609903 38.2135059)",Point 17,
"POINT (-85.760904 38.2134703)",Point 18,
"POINT (-85.7606049 38.2134313)",Point 19,
"POINT (-85.7612155 38.2135297)",Point 20,
"POINT (-85.7610911 38.2132696)",Point 21,
"POINT (-85.7604944 38.2132021)",Point 22,
"POINT (-85.7599897 38.2133807)",Point 23,
"POINT (-85.7599884 38.2132158)",Point 24,
"POINT (-85.761314 38.2130195)",Point 25,
"POINT (-85.7603698 38.2129088)",Point 26,
"POINT (-85.7608379 38.2129668)",Point 27,
"POINT (-85.7608607 38.2128593)",Point 28,
"POINT (-85.7612991 38.213499)",Point 29,
"POINT (-85.7615633 38.2135232)",Point 30,
"POINT (-85.7621583 38.2136203)",Point 31,
"POINT (-85.7610303 38.2129863)",Point 32,
"POINT (-85.7610168 38.2130685)",Point 33,
"POINT (-85.7606484 38.2129444)",Point 34,
"POINT (-85.7606296 38.2130308)",Point 35,
"POINT (-85.7604227 38.2126445)",Point 36,
"POINT (-85.7606333 38.2126719)",Point 37,
"POINT (-85.7602632 38.2129049)",Point 38,
"POINT (-85.7602162 38.2132452)",Point 39,
"POINT (-85.7613401 38.213369)",Point 40,
"POINT (-85.7598284 38.2133407)",Point 41,
"POINT (-85.7595253 38.2133044)",Point 42,
"POINT (-85.7595307 38.2132659)",Point 43,
"POINT (-85.760075 38.2128876)",Point 44,
