WKT,name,description
POINT (-85.760468 38.2151023),Point 45,Morgans area
POINT (-85.7614215 38.213817),Point 46,Doughtery Hall
POINT (-85.7609798 38.2141971),Point 47,Women's Center
POINT (-85.7612737 38.2145993),Point 48,Brigman Hall
POINT (-85.7617255 38.2142701),Point 49,Patterson Hall
POINT (-85.7620524 38.2143475),Point 50,S. 3rd St. Bus Stop
POINT (-85.7619384 38.2145359),Point 51,UofL Department of Criminal Justice
POINT (-85.7617842 38.2145823),Point 52,McCandless Hall
POINT (-85.7608815 38.2146616),Point 53,West Information Center
POINT (-85.7601615 38.2150961),Point 54,Grawemeyer Hall
POINT (-85.7601901 38.213598),Point 55,Eastern Pkwy Bus Stop
POINT (-85.761086 38.2156166),Point 56,Brandeis School of Law
POINT (-85.7608916 38.2169978),Point 57,Starbucks/Ekstrom Library
POINT (-85.7598803 38.2168121),Point 58,Ekstrom Library
POINT (-85.760869 38.2161831),Point 59,Brodschi Hall
POINT (-85.7613615 38.2161186),Point 60,Raymond Kent School of Social Work
