WKT	name	description
POINT (-85.7547985 38.2179095)	SAC 100	
POINT (-85.7549717 38.2172973)	Starbucks_101	
POINT (-85.7549805 38.2175281)	SAC 102	
POINT (-85.7553556 38.2174641)	SAC 103	
POINT (-85.7567025 38.2165618)	SAC 104	
POINT (-85.7566829 38.2170478)	SAC 105	
POINT (-85.7564585 38.2172719)	SAC 106	
POINT (-85.7562657 38.2174257)	SAC 107	
POINT (-85.7562429 38.2176301)	SAC 108	
POINT (-85.7569496 38.2174573)	SAC 109	
POINT (-85.7563809 38.2177855)	SAC 110	
POINT (-85.757224 38.218078)	111	
POINT (-85.7571576 38.2186682)	112	
POINT (-85.7570241 38.2169438)	113	
POINT (-85.7555998 38.2169906)	Parking 114	
POINT (-85.7548837 38.2168537)	Parking 115	
POINT (-85.7560365 38.2185014)	Uni Club 116	
POINT (-85.755775 38.2185731)	Uni Club 117	
POINT (-85.7564389 38.2187669)	Uni Club 118	
POINT (-85.756996 38.2186969)	119	
POINT (-85.758694 38.2181059)	Davidson 120	
POINT (-85.7585036 38.2180964)	Davidson 121	
POINT (-85.7587386 38.2184516)	Davidson 122	
POINT (-85.7574986 38.21755)	Walkway 123	
