start-node,end-node
1,2
2,1
2,4
2,5
2,14
2,15
3,5
3,8
3,21
4,2
4,6
4,11
5,2
5,3
5,12
6,4
6,7
6,22
7,6
7,13
7,26
7,39
8,3
8,10
8,25
8,40
9,10
9,12
10,8
10,9
10,20
10,29
11,4
11,13
12,5
12,9
13,7
13,11
13,23
14,2
14,15
14,18
15,2
15,14
15,19
16,19
16,23
17,18
17,20
18,14
18,17
18,19
19,15
19,16
19,18
20,10
20,17
20,31
21,3
22,6
23,13
23,24
23,41
24,23
24,39
25,8
25,32
26,34
26,38
26,36
27,28
27,32
27,34
28,27
29,19
29,30
30,29
31,20
32,25
32,27
32,33
33,32
34,26
34,27
34,35
35,34
36,26
36,37
37,36
38,26
38,44
39,7
39,24
40,8
41,23
41,24
41,42
42,41
42,43
43,42
44,24
44,38
45,31
45,46
46,47
47,48
48,49
49,50
50,51
51,52
52,53
53,54
54,55
55,56
56,57
57,58
58,59
59,60
